No.,Sexo,Tipo_Empleo,Tiene_Vehiculo,Edad,Ciudad_Chile,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,RiesgoAlto
1396,M,DEP,0,29,SANTIAGO,2,1,671942,2101574,-0.542118694603814,2,2,36,12,2753255.91,4589779,2448000,0.0715405068239207,22.06,1
1397,F,DEP,0,40,SANTIAGO,3,1,660739,9866383.5,-0.0561251556325448,0,0,36,12,9847866.51,11776537.5,2380000,0.345461595046863,11.83,1
1398,F,IND,0,50,CONCEPCION,1,0,0,131656.5,-0.818006941488491,1,0,36,12,1183010.11,2076788,1020000,0.0107562491212215,3.4,0
1399,F,DEP,0,26,SANTIAGO,2,1,73695,1053167,-0.332437702789075,0,0,17,12,1161379.82,2087914.5,1045500,0.0839444377535121,7.14,0
1400,F,DEP,0,38,SANTIAGO,2,1,46316.5,9779267,0.376472563737322,4,1,29,12,4650186.2,7441146.5,1700000,0.479375809834519,16.71,1
1401,F,IND,1,44,SANTIAGO,2,1,5338365.5,7884608.5,0.16447194026741,2,0,36,12,4390189.9,8240928.5,2550000,0.257666936023956,8.07,0
1402,M,IND,0,59,VALDIVIA,2,1,655027,4418657,4.3600067169118,4,0,30,12,473311.11,860514.5,2040000,0.18050068707105,7.98,0
1403,M,IND,0,47,SANTIAGO,1,0,0,1277864.5,-0.133393995279742,3,0,22,12,1086865.84,2092470.5,1530000,0.0696004591720883,3.75,0
1404,M,DEP,0,55,SANTIAGO,0,0,0,0,-0.784398631899338,1,1,15,10,494551.25,812659.5,782000,0,7.52,0
1405,M,IND,0,55,SANTIAGO,0,0,0,0,-0.333555201239233,0,0,12,11,1670173.5,2809479.5,10710000,0,0.05,0
1406,M,IND,0,58,CONCEPCION,1,1,691891.5,691891.5,-0.486859006862049,4,0,36,12,1648751.8,2011644,2550000,0.0226108325944172,3.49,0
